target_id	length	eff_length	est_counts	tpm
YP_081565.1	645	433.739	2874	1951.1
YP_081566.1	390	181.577	275	445.956
YP_081567.1	813	601.704	46255	22635.8
YP_081568.1	951	739.704	35515	14137.6
YP_081569.1	228	52.1567	6959	39287.8
YP_081570.1	480	269.171	8800	9626.64
YP_081571.1	363	156.451	0	0
YP_081572.1	393	184.494	18383	29339.6
YP_081573.1	531	319.921	8119	7472.75
YP_081574.1	918	706.704	1995	831.239
YP_081575.1	1017	805.685	11225	4102.44
YP_081576.1	576	364.821	5787	4670.83
YP_081577.1	417	207.529	5297	7515.74
YP_081578.1	510	298.968	12187	12003.1
YP_081579.1	723	511.704	11228	6461.06
YP_081580.1	927	715.704	7280	2995.15
YP_081581.1	774	562.704	5487	2871.28
YP_081582.1	243	61.0277	1241	5987.77
YP_081583.1	243	61.0277	1438	6938.29
YP_081584.1	234	55.793	1114	5879.31
YP_081585.1	189	32.9859	1337	11935
YP_081586.1	1920	1708.68	12107.6	2086.5
YP_004940331.1	816	604.704	8154.38	3970.71
YP_081587.1	2544	2332.68	0	0
YP_081588.1	471	260.258	0	0
YP_081589.1	600	388.802	29	21.9629
YP_081590.1	561	349.83	0	0
YP_081591.1	549	337.839	0	0
YP_081592.1	678	466.717	32	20.1891
YP_081593.1	684	472.717	352	219.261
YP_081594.1	744	532.704	701	387.483
YP_081595.1	558	346.83	429	364.218
YP_081596.1	648	436.739	2206	1487.32
YP_081597.1	846	634.704	11499	5334.69
YP_081598.1	786	574.704	6885	3527.61
YP_081599.1	933	721.704	5510	2248.09
YP_081600.1	789	577.704	1398	712.561
YP_081601.1	930	718.704	2840	1163.56
YP_081602.1	882	670.704	1566	687.514
YP_081603.1	825	613.704	28731	13785.2
YP_081604.1	723	511.704	6183	3557.96
YP_081605.1	765	553.704	9092	4835.06
YP_081606.1	732	520.704	1021	577.371
YP_081607.1	1731	1519.68	12656	2452.24
YP_081608.1	1779	1567.68	5128	963.186
YP_081609.1	1506	1294.68	3761	855.382
YP_081610.1	1812	1600.68	3929	722.765
YP_081611.1	1095	883.685	8433	2809.99
YP_081612.1	1065	853.685	28191	9723.75
YP_081613.1	1389	1177.68	4914.61	1228.8
YP_081614.1	1050	838.685	5628.39	1976.09
YP_081615.1	486	275.104	4147	4438.73
YP_081616.1	552	340.839	3795	3278.56
YP_004940332.1	174	27.0289	1283	13977.2
YP_081617.1	492	281.055	10277	10767
YP_081618.1	195	35.3133	1119	9330.65
YP_081619.1	2367	2155.68	6789	927.345
